date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:00	633/633	---MCZ	200	added ('OK')	text/plain	date:Fri,%2012%20Dec%202025%2020:56:00%20GMT	https://gwenyth.smartpixel.id/robots.txt		(from )
23:56:00	27398/27398	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2014:51:15%20GMT	https://gwenyth.smartpixel.id/	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/index.html	(from )
23:56:00	18588/18588	---M--	200	added ('OK')	image/png	etag:%22617ffee3-489c%22	https://gwenyth.smartpixel.id/assets/images/logo/logo.png	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/images/logo/logo.png	(from https://gwenyth.smartpixel.id/)
23:56:01	337201/337201	---MCZ	200	added ('OK')	text/css	etag:W/%22617ffee3-52531%22	https://gwenyth.smartpixel.id/assets/css/bootstrap.css	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/css/bootstrap.css	(from https://gwenyth.smartpixel.id/)
23:56:01	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%224083f5d376eb849a458cc790b53ba080%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/My%20Web%20Sites/Personal%20Website/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from https://gwenyth.smartpixel.id/)
23:56:01	26901/26901	---MCZ	200	added ('OK')	text/css	etag:W/%22617ffee3-6915%22	https://gwenyth.smartpixel.id/assets/css/main.css	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/css/main.css	(from https://gwenyth.smartpixel.id/)
23:56:01	15137/15137	---MCZ	200	added ('OK')	text/css	etag:W/%22617ffee3-3b21%22	https://gwenyth.smartpixel.id/assets/css/normalize.css	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/css/normalize.css	(from https://gwenyth.smartpixel.id/)
23:56:02	5762/5762	---MCZ	200	added ('OK')	text/css	etag:W/%22617ffee3-1682%22	https://gwenyth.smartpixel.id/assets/css/responsive.css	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/css/responsive.css	(from https://gwenyth.smartpixel.id/)
23:56:02	4214/4214	---M--	200	added ('OK')	image/png	etag:%22617ffee3-1076%22	https://gwenyth.smartpixel.id/assets/images/logo/logo2.png	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/images/logo/logo2.png	(from https://gwenyth.smartpixel.id/)
23:56:02	49128/49128	---M--	200	added ('OK')	image/jpeg	etag:%22617ffee3-bfe8%22	https://gwenyth.smartpixel.id/assets/images/03_about.jpg	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/images/03_about.jpg	(from https://gwenyth.smartpixel.id/)
23:56:02	90265/90265	---M--	200	added ('OK')	image/jpeg	etag:%22617ffee3-16099%22	https://gwenyth.smartpixel.id/assets/images/06_porto.jpg	C:/My%20Web%20Sites/Personal%20Website/gwenyth.smartpixel.id/assets/images/06_porto.jpg	(from https://gwenyth.smartpixel.id/)
